date,official,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh
2025-06-22,True,2607.509558185184,2139.5698164444448,1200.0,80740.198357,54428.0499348351,0.0,0,0.0,54428.0499348351,9741.778669728395
2025-06-23,True,2139.5698164444448,1822.1827810000025,1200.0,79707.85849500001,53235.7123547298,0.0,0,0.0,53235.7123547298,9220.911388469145
2025-06-24,True,1822.1827810000025,1509.664556518519,1200.0,77452.317184,53111.17186029129,3057.750117929999,11,21112.39534134626,74223.56720163755,522.4883668312821
2025-06-25,True,1509.664556518519,2026.1275945925945,1200.0,78037.8247304,52313.36350370514,7.251236333333509,2,50.410921610167875,52363.774425315314,3097.264951279843
2025-06-26,True,2026.1275945925945,1837.1681841111115,1200.0,79459.565176,52528.1386279557,70.63461600000005,3,496.0659061068337,53024.204534062534,8006.546789213998
2025-06-27,True,1837.1681841111115,2402.305284740742,1200.0,34489.873573699995,16724.40921370723,13.98161393333281,2,27.464032000432297,16751.873245707662,11384.5305172428
2025-06-28,True,2402.305284740742,2244.8289008888896,1200.0,33857.8599553,16457.58248786493,0.0,0,0.0,16457.58248786493,9630.744229806174
2025-06-29,True,2244.8289008888896,2294.499561333337,1200.0,79616.710781,54055.389013329,0.0,0,0.0,54055.389013329,6645.254963004117
2025-06-30,True,2294.499561333337,2055.664860666668,1200.0,79542.44615599999,53325.0913235609,28.091370666666762,3,198.26508514516735,53523.356408706066,6343.98166415639
2025-07-01,True,2055.664860666668,1200.0,1200.0,78608.58569899999,56748.092172413104,5016.115534033331,35,31298.03897831878,88046.13115073188,1418.870169596708
2025-07-02,True,1200.0,1613.053907370372,1200.0,88994.102631,65028.19648164981,474.2362281666657,12,2327.768698984247,67355.96518063406,12798.545041123456
2025-07-03,True,1613.053907370372,1962.7868963333353,1200.0,92995.26600999999,70199.02540982899,9.36609999999996,1,83.99518479999965,70283.020594629,9055.871851028807
2025-07-04,True,1962.7868963333353,1200.0,1200.0,38044.719121999995,21584.224434710002,3151.3715126999964,25,11032.029615928088,32616.25405063809,10158.845732123455
2025-07-05,True,1200.0,1200.0,1200.0,43003.137728,23799.5313974064,457.5017559333357,9,2284.197518967686,26083.728916374086,11801.81243820576
2025-07-06,True,1200.0,1585.642754814816,1200.0,88434.46045099999,66089.39851095289,654.9776971533263,1,5806.7047741128135,71896.1032850657,4861.258669465022
2025-07-07,True,1585.642754814816,2178.4395920000024,1200.0,91058.56056299999,67120.1434061532,0.0,0,0.0,67120.1434061532,13772.044468473257
2025-07-08,True,2178.4395920000024,2450.49488614815,1200.0,88250.92584540001,65497.59773199269,0.0,0,0.0,65497.59773199269,8541.329052190125
2025-07-09,True,2450.49488614815,2273.162282111113,1200.0,85904.2055854,63663.32367550214,12.91563333333329,1,112.46933506666629,63775.79301056881,8418.536538733337
2025-07-10,True,2273.162282111113,1761.758133370373,1200.0,85859.110688,63472.323734844394,52.8045033333334,3,448.5802131000006,63920.903947944396,9719.572179481484
2025-07-11,True,1761.758133370373,2407.065560666669,1200.0,49293.474514500005,27830.22930020815,0.0,0,0.0,27830.22930020815,13517.5317071749
2025-07-12,True,2407.065560666669,1751.0310611851878,1200.0,44147.201036,25171.115448171302,0.0,0,0.0,25171.115448171302,10957.775335798357
2025-07-13,True,1751.0310611851878,2323.2355632222234,1200.0,86500.288165,62141.4782291068,33.013400000000274,2,273.3692915450023,62414.8475206518,13160.401150843627
