date,official,q_load,q_pv,q_source,feature_value,feature_percentile,soc0_actual,soc24_actual,soc24_plan,purchase_kwh,plan_cost,emergency_kwh,emergency_slots,emergency_cost,total_cost,curtail_kwh,q_min,k,label
2025-03-30,True,0.85,0.15,rule,321.3521851509636,0.7017543859649122,2413.4982500000046,2339.043571296298,1200.0,67543.318327,40939.3055973174,0.0,0,0.0,40939.3055973174,8678.7926521029,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-03-31,True,0.85,0.15,rule,307.918821976645,0.5517241379310345,2339.043571296298,2475.6226935185205,1200.0,67668.82999,41471.139762778,0.0,0,0.0,41471.139762778,7138.930488724287,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-01,True,0.85,0.15,rule,323.84258566224037,0.711864406779661,2475.6226935185205,1429.9480046296303,1200.0,62964.128442999994,39267.14266141129,125.73452396666664,2,821.3015317127832,40088.44419312408,288.17233971193883,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-02,True,0.9,0.1,rule,371.7648943313512,0.9833333333333333,1429.9480046296303,2223.540054518518,1200.0,69586.69027,42744.039896147005,403.7299415333325,4,2116.702284852129,44860.742180999136,4649.995886255146,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-03,True,0.9,0.1,rule,399.4668669642135,1.0,2223.540054518518,2453.4327584074103,1200.0,71292.7366583,44112.113071007014,0.0,0,0.0,44112.113071007014,11279.758206008226,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-04,True,0.9,0.1,rule,402.60008775594355,1.0,2453.4327584074103,3099.3439692592606,1200.0,32182.193121999997,13254.231070961401,0.0,0,0.0,13254.231070961401,22494.383959037033,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-05,True,0.9,0.1,rule,424.12743265087397,1.0,3099.3439692592606,2461.050451777777,1200.0,30135.013098000003,12573.7654775543,0.0,0,0.0,12573.7654775543,16373.409344543212,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-06,True,0.9,0.1,rule,407.7371418458876,0.984375,2461.050451777777,2451.7642712592606,1200.0,70298.64516,43300.663507999,0.0,0,0.0,43300.663507999,12334.510559876544,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-07,True,0.9,0.1,rule,408.23463726634975,0.9846153846153847,2451.7642712592606,2516.3211411851853,1200.0,69788.25109,42476.018275908995,0.0,0,0.0,42476.018275908995,13146.484996707824,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-08,True,0.9,0.1,rule,416.137829790362,0.9848484848484849,2516.3211411851853,1610.6675417407407,1200.0,65649.22041800001,39133.5425543332,0.0,0,0.0,39133.5425543332,8476.642673901242,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-09,True,0.9,0.1,rule,367.1264241587446,0.8805970149253731,1610.6675417407407,1854.278795703705,1200.0,68119.80889,41263.141659,0.0,0,0.0,41263.141659,4956.593273456794,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-10,True,0.85,0.15,rule,347.48309190639924,0.7352941176470589,1854.278795703705,2251.9686511111136,1200.0,66950.655175,40452.629927811504,0.0,0,0.0,40452.629927811504,8181.541206172842,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-11,True,0.9,0.1,rule,351.7012459998441,0.782608695652174,2251.9686511111136,2640.548030925926,1200.0,30545.418025,12495.351152616902,0.0,0,0.0,12495.351152616902,22256.945934917698,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-12,True,0.85,0.15,rule,342.80222360760473,0.7142857142857143,2640.548030925926,2567.817225444445,1200.0,29041.7670845,11563.2003198677,0.0,0,0.0,11563.2003198677,17923.335694088477,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-13,True,0.85,0.15,rule,344.0671583275228,0.7183098591549296,2567.817225444445,2239.9099058148167,1200.0,64803.98096100001,39623.54122163879,0.0,0,0.0,39623.54122163879,7180.537498436217,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-14,True,0.85,0.15,rule,344.964785296192,0.7222222222222222,2239.9099058148167,2096.0051165555583,1200.0,65118.547558,39124.186226195,0.0,0,0.0,39124.186226195,9130.390174444456,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-15,True,0.85,0.15,rule,322.8267715280623,0.5753424657534246,2096.0051165555583,1998.6906766296315,1200.0,62494.338717000006,36946.977872683194,0.0,0,0.0,36946.977872683194,8995.79286823457,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-16,True,0.9,0.1,rule,348.7525302751809,0.7567567567567568,1998.6906766296315,1941.1230593703722,1200.0,66295.14871,40056.922512446996,0.0,0,0.0,40056.922512446996,6981.510775967081,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-17,True,0.85,0.15,rule,326.98184192322395,0.6,1941.1230593703722,2310.316680962967,1200.0,64716.406172,38621.56445438499,0.0,0,0.0,38621.56445438499,7607.575050411531,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-18,True,0.85,0.15,rule,317.961784179469,0.5263157894736842,2310.316680962967,2693.5502567777785,1200.0,29236.362732499998,11810.843056083551,0.0,0,0.0,11810.843056083551,19970.592340084368,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-19,True,0.85,0.15,rule,299.135969715665,0.36363636363636365,2693.5502567777785,2453.0630768518495,1200.0,27947.559154219998,11295.643160902502,0.0,0,0.0,11295.643160902502,19100.269068787904,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-20,True,0.85,0.15,rule,298.4257632394972,0.34615384615384615,2453.0630768518495,2324.7045288888908,1200.0,63274.51275,37633.135887745,0.0,0,0.0,37633.135887745,7755.321900699595,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-21,True,0.85,0.15,rule,299.6732747846999,0.379746835443038,2324.7045288888908,1885.2141583703706,1200.0,62997.08563,37060.807335189995,0.0,0,0.0,37060.807335189995,11464.691933456796,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-22,True,0.85,0.15,rule,318.7120056760856,0.55,1885.2141583703706,1776.7167298888894,1200.0,59992.789670000006,35669.873194795,0.0,0,0.0,35669.873194795,4423.341948765439,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-23,True,0.85,0.15,rule,295.26938209096505,0.3333333333333333,1776.7167298888894,1876.4470031481492,1200.0,61925.73303,37257.146548132,0.0,0,0.0,37257.146548132,6863.061542592594,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-24,True,0.85,0.15,rule,296.2385898359026,0.34146341463414637,1876.4470031481492,2169.8005680000024,1200.0,63359.1822,37690.55163777601,0.0,0,0.0,37690.55163777601,12302.718585473258,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-25,True,0.85,0.15,rule,315.4342004180287,0.5301204819277109,2169.8005680000024,2350.5730669259283,1200.0,27936.343764999998,10901.629579944001,0.0,0,0.0,10901.629579944001,23296.156808909465,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-26,True,0.85,0.15,rule,316.3715258951089,0.5357142857142857,2350.5730669259283,2209.1770881851876,1200.0,27108.827597999996,10638.847727415201,0.0,0,0.0,10638.847727415201,25105.157492650207,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-27,True,0.9,0.1,rule,351.3922909327785,0.8117647058823529,2209.1770881851876,2406.6156955925944,1200.0,61994.356367,36314.0774885634,0.0,0,0.0,36314.0774885634,9602.219242884783,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-28,True,0.9,0.1,rule,356.3472927013653,0.8372093023255814,2406.6156955925944,2331.4103020370376,1200.0,61509.37561,37386.82477167901,0.0,0,0.0,37386.82477167901,1145.994339547329,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-29,True,0.9,0.1,rule,414.21915569229594,0.9770114942528736,2331.4103020370376,1821.9379050000011,1200.0,60223.53441,35272.9475208417,25.733225556661637,1,170.3024867339867,35443.25000757568,9909.409057283958,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-04-30,True,0.9,0.1,rule,414.94108059336577,0.9772727272727273,1821.9379050000011,1857.362555814817,1200.0,61472.5721456,35881.62731257008,0.0,0,0.0,35881.62731257008,9952.909384859264,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-05-01,True,0.9,0.1,rule,423.6278535025479,0.9887640449438202,1857.362555814817,1232.170992,1200.0,62341.62092,37932.315921528,1416.667665,19,6978.930752771666,44911.24667429967,9511.000132757214,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-05-02,True,0.9,0.1,rule,421.81704479535637,0.9777777777777777,1232.170992,1664.0357570370377,1200.0,30640.7556024,13175.854264723159,0.0,0,0.0,13175.854264723159,13231.011018037858,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-05-03,True,0.9,0.1,rule,454.5254775954995,1.0,1664.0357570370377,1427.6942648148145,1200.0,29731.190452,12528.783186257799,48.312104933331604,2,209.41943068945886,12738.202616947257,18760.029125703702,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-05-04,True,0.9,0.1,rule,411.53665838186936,0.9239130434782609,1427.6942648148145,1296.542404962963,1200.0,66158.86603,40581.34522764401,367.4002144333323,10,1945.5568536422275,42526.902081286236,11658.578984238684,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-05-05,True,0.9,0.1,rule,417.1026298305157,0.956989247311828,1296.542404962963,2562.9993479629657,1200.0,69209.3189799,42662.56872959928,0.0,0,0.0,42662.56872959928,9061.736591069966,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-05-06,True,0.9,0.1,rule,378.75502432158567,0.8617021276595744,2562.9993479629657,2042.6599145555554,1200.0,65130.369161899995,40379.95211922004,0.0,0,0.0,40379.95211922004,9144.065814847745,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-05-07,True,0.9,0.1,rule,380.8659935102691,0.8631578947368421,2042.6599145555554,2013.787344703704,1200.0,66650.97197000001,41398.722919602995,0.0,0,0.0,41398.722919602995,8011.688944074076,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-05-08,True,0.9,0.1,rule,365.85182370263425,0.8020833333333334,2013.787344703704,2754.240995555556,1200.0,69105.5054614,43745.727876652876,0.0,0,0.0,43745.727876652876,8860.27166794239,0.8,0.1,resid_vol7_qmin0.80_k0.10
2025-05-09,True,0.9,0.1,rule,369.717031605596,0.8247422680412371,2754.240995555556,3954.5047101481496,1200.0,32282.667586,14688.9449190364,0.0,0,0.0,14688.9449190364,20077.847254123455,0.8,0.1,resid_vol7_qmin0.80_k0.10
