date,official,soc0_actual,soc24_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh
2025-06-27,True,2157.9496460740743,2884.8138325925947,36962.164703999995,21315.2368412227,0.0,0.0,21315.2368412227,14053.874106139923
2025-06-28,True,2884.8138325925947,2739.6821532592585,35252.574618,20416.9504194726,0.0,0.0,20416.9504194726,11557.134450427986
2025-06-29,True,2739.6821532592585,2890.579953925925,84221.843937,53350.112895597005,0.0,0.0,53350.112895597005,11278.600483868324
2025-06-30,True,2890.579953925925,2426.8831745185194,83978.916718,53271.3713312142,0.0,0.0,53271.3713312142,11202.698150329215
2025-07-01,True,2426.8831745185194,1200.0,83061.382812,52126.97334960441,2833.3306114666643,14183.272012328787,66310.2453619332,4165.684541164615
2025-07-02,True,1200.0,1989.83908125926,94108.07643,59874.308601672004,114.21326999999997,770.2289273016664,60644.53752897367,17264.144291069962
2025-07-03,True,1989.83908125926,2440.9662158518527,97798.754308,62986.5893499122,0.0,0.0,62986.5893499122,13840.521073539105
2025-07-04,True,2440.9662158518527,1200.0,40149.837943,23815.9968942853,1482.817330533329,5929.748384755944,29745.745279041246,11337.487889666663
2025-07-05,True,1200.0,1476.596418333334,46169.36739109999,27011.0151444248,0.0,0.0,27011.0151444248,14613.92684455679
2025-07-06,True,1476.596418333334,2514.991801111113,93280.082714,59734.064354081995,0.0,0.0,59734.064354081995,8497.249300131694
2025-07-07,True,2514.991801111113,2627.151452777777,95229.076775,61355.060013502,0.0,0.0,61355.060013502,18633.57962475309
2025-07-08,True,2627.151452777777,3130.5889064814846,92927.825057,59794.5691706526,0.0,0.0,59794.5691706526,13223.620880744853
2025-07-09,True,3130.5889064814846,2707.595284666666,90325.589675,58118.8776854979,0.14006333333327348,0.9442369616662631,58119.82192245957,13292.876079403293
2025-07-10,True,2707.595284666666,2172.544174148151,90458.988236,58063.56861568231,10.458113333333358,70.52068593333351,58134.08930161564,14561.898825753087
2025-07-11,True,2172.544174148151,2883.9667921481514,51290.068301,30327.242287515503,0.0,0.0,30327.242287515503,15507.089771205761
2025-07-12,True,2883.9667921481514,2244.790042555557,45356.952257,27679.5774224352,0.0,0.0,27679.5774224352,12600.795881979426
2025-07-13,True,2244.790042555557,2759.644748333336,91133.488905,58466.699434251306,13.854320000000143,93.13566620000097,58559.83510045131,18060.76254919753
2025-07-14,True,2759.644748333336,2573.6368794814825,89374.4924191,57344.29910410415,0.0,0.0,57344.29910410415,14632.654026137048
2025-07-15,True,2573.6368794814825,2956.3726878148163,88470.55790797001,56675.55901491275,0.0,0.0,56675.55901491275,12136.600861961771
2025-07-16,True,2956.3726878148163,2239.0139367037045,86825.90982599999,55501.0351969653,20.35981333333325,137.56107878666612,55638.59627575197,12214.033512831282
2025-07-17,True,2239.0139367037045,2199.616851518521,88363.917517,56255.6339038317,5.013380000000097,34.97333888000068,56290.6072427117,11903.04618123869
2025-07-18,True,2199.616851518521,2488.1393694814806,45593.427062999996,27582.1472850548,0.0,0.0,27582.1472850548,11657.187988925927
2025-07-19,True,2488.1393694814806,2480.247318407409,44673.210526,27056.9813230267,0.0,0.0,27056.9813230267,15432.363657399179
2025-07-20,True,2480.247318407409,2711.8425958148196,87191.454169,55848.753834698065,0.0,0.0,55848.753834698065,11483.550702950619
2025-07-21,True,2711.8425958148196,2901.2346129629645,88236.091606,56510.2184868178,0.0,0.0,56510.2184868178,10630.281199168732
2025-07-22,True,2901.2346129629645,2108.467370444446,85507.7225791,54223.23659230089,20.570029999999974,138.84460214999984,54362.08119445089,8917.449522762556
2025-07-23,True,2108.467370444446,2490.375928074076,88321.040524,56169.8164803693,0.0,0.0,56169.8164803693,10099.123686222229
2025-07-24,True,2490.375928074076,2799.998394925928,89226.23399449998,57054.34140531359,0.0,0.0,57054.34140531359,11814.737958267498
2025-07-25,True,2799.998394925928,2700.8263801851876,43829.902705,26556.4547181952,0.0,0.0,26556.4547181952,15102.456026399184
2025-07-26,True,2700.8263801851876,2447.79661866667,43813.216453,26755.2128741644,0.0,0.0,26755.2128741644,13335.994659131693
2025-07-27,True,2447.79661866667,2849.1376651851865,88549.447102,56664.7715094087,0.0,0.0,56664.7715094087,10638.49601615227
2025-07-28,True,2849.1376651851865,2361.9037243703715,88195.543999,56422.3867071762,0.0,0.0,56422.3867071762,6968.952736736628
2025-07-29,True,2361.9037243703715,2616.1280970740772,88502.109392,56434.07885165341,27.905140000000074,187.8853076200005,56621.96415927341,8579.841058164617
2025-07-30,True,2616.1280970740772,2763.5486592592597,88823.36920300001,56728.450545117696,0.0,0.0,56728.450545117696,11027.488031148156
2025-07-31,True,2763.5486592592597,2279.430414185187,89697.199713,57353.1693865901,0.0,0.0,57353.1693865901,11679.678433617286
2025-08-01,True,2279.430414185187,2646.101346370373,44004.923879,26491.9497216861,0.0,0.0,26491.9497216861,20028.345960604944
2025-08-02,True,2646.101346370373,2817.285635111114,43649.380907,26554.9074881159,0.0,0.0,26554.9074881159,20459.678042802472
2025-08-03,True,2817.285635111114,1889.8707457777796,87018.6462885,55514.9412466121,60.99742000000026,411.1211863966684,55926.06243300877,22182.988038705756
2025-08-04,True,1889.8707457777796,2799.083368777779,86915.3768957,55212.709537691306,0.0,0.0,55212.709537691306,17512.34525249013
2025-08-05,True,2799.083368777779,2540.932601444444,83342.71066000001,52953.190713667995,0.0,0.0,52953.190713667995,15106.335276419755
2025-08-06,True,2540.932601444444,2514.3869660740747,80863.50667,51132.417199514995,0.0,0.0,51132.417199514995,9350.291006543212
2025-08-07,True,2514.3869660740747,2298.351381370372,80741.86365699998,51123.1622414854,5.964260000000195,40.297522690001315,51163.4597641754,13835.378113049384
2025-08-08,True,2298.351381370372,2750.6537905925948,43076.078771,25952.5897670286,0.0,0.0,25952.5897670286,24400.550202111113
2025-08-09,True,2750.6537905925948,2504.6049491851863,41407.0468328,25094.42401195672,0.0,0.0,25094.42401195672,20578.46111649136
2025-08-10,True,2504.6049491851863,2727.698160222225,79896.65086,50857.214063416,0.0,0.0,50857.214063416,11035.522730205761
2025-08-11,True,2727.698160222225,2284.2519667407423,79508.55247,50493.452265304,18.724840000000086,126.23350886000058,50619.685774164,11811.058200123465
2025-08-12,True,2284.2519667407423,2402.9776251111125,78483.86871,49685.951724521,23.85933666666665,160.80248479166653,49846.75420931267,7142.233393251034
2025-08-13,True,2402.9776251111125,2689.5484740740753,78784.35218,49982.487723424,0.0,0.0,49982.487723424,8992.213044238692
2025-08-14,True,2689.5484740740753,2254.789433296298,79375.50284,50368.919023509996,25.98925666666662,180.54795716166635,50549.46698067166,10028.9311125926
2025-08-15,True,2254.789433296298,2481.0828980000024,41988.022021,25363.6180928185,0.0,0.0,25363.6180928185,22142.719832316874
2025-08-16,True,2481.0828980000024,2493.9691092222224,41768.256796999995,25111.485939159702,0.0,0.0,25111.485939159702,22499.62235008643
2025-08-17,True,2493.9691092222224,2591.4175206296295,79849.62718,50779.796690641,39.40923000000009,265.30704373833396,51045.103734379336,13189.839610905354
