date,paid_curtail_kwh,paid_curtail_cost,curtail_kwh,emergency_kwh
2025-06-24,594.9699511111171,243.60319804489117,594.9699511111171,3104.660867679996
2025-06-25,3251.6556264855963,2111.0594044277923,3251.6556264855963,5.636512000000039
2025-06-26,7794.150128600825,5022.733180130188,8022.7504783786035,70.63461600000005
2025-06-27,824.5456433333334,768.5250899825335,11364.95949864198,0.0
2025-06-28,549.2203159378593,546.9201721840686,9605.253690300004,0.0
2025-06-29,6502.187306300416,4056.5519258079908,6559.667706300416,0.0
2025-06-30,6321.559486316874,4028.9674490955604,6444.522652983542,28.091370666666762
2025-07-01,1451.011423596708,760.6507995471605,1451.011423596708,5032.57752013333
2025-07-02,10328.883269979426,5746.013438745134,12486.78695331276,174.8690999999999
2025-07-03,8104.97937350617,4627.713912873995,9128.674256839506,9.36609999999996
2025-07-04,397.49723212345657,342.45142862337013,10158.486765456788,3147.402972599996
2025-07-05,524.7452113333331,418.5758561766333,11653.395181703703,312.2272388666677
2025-07-06,4539.47484690692,2121.4889735908737,4881.613813573587,655.8253291533275
2025-07-07,11962.60025847737,7201.145347470647,13809.194675144037,0.0
2025-07-08,6761.753177618109,3294.319615760268,8561.666555683954,0.0
2025-07-09,7251.938015379434,4265.347931811788,8404.402492046098,12.91563333333329
2025-07-10,8197.17513762963,4725.451238096017,9751.761804296297,52.8045033333334
2025-07-11,2903.792368240742,2414.074219500717,13474.094048816874,0.0
2025-07-12,1503.835533000001,1339.772534064934,10908.059764399179,0.0
2025-07-13,9277.370068500419,5117.455351591781,13201.060555088483,33.013400000000274
2025-07-14,8001.251747078199,4531.958965406035,9809.797488847746,17.389950000000226
2025-07-15,6802.207313168728,3752.550338625714,7272.5432718107,0.0
2025-07-16,5916.945516748981,3114.4660497930263,7322.837383415648,40.81747666666661
2025-07-17,5492.019438724286,2925.4254625368794,7015.12137205762,19.686836666666977
2025-07-18,1309.1348645761336,1170.2438405261128,9975.449964699592,0.0
2025-07-19,825.7137776399171,728.9601596837563,13699.949980314814,0.0
2025-07-20,5308.18966090536,3452.420830910186,6527.923543991784,0.0
2025-07-21,4924.62790477367,2826.926963252741,5738.103538107003,0.0
2025-07-22,3739.810288477372,1923.6069032241344,4074.111043415643,88.33057999999994
2025-07-23,4066.2036789712,2134.9536799781763,5189.075269382727,0.13492333333340412
2025-07-24,6075.701073415648,3131.7360681517503,6931.275151275731,0.0
2025-07-25,1421.4260596666668,1240.8698728676,13411.396758514402,0.0
2025-07-26,1631.4504363333338,1494.2128147413337,11632.583440983537,0.0
2025-07-27,5160.408246656802,3246.1687940687043,5814.4672799901355,0.0
2025-07-28,2132.4635503827276,1170.9796701802625,2132.4635503827276,0.0
2025-07-29,3541.88758864199,2274.1530131018026,3746.2558886419893,51.38587000000018
2025-07-30,4583.343881058448,2642.9487209453323,6199.664748836225,0.0
2025-07-31,6299.804756521815,3514.1190440251535,6866.265489855148,11.54515333333336
2025-08-01,1189.6718323189311,1039.5975230389568,18252.449621002066,0.0
2025-08-02,1365.4325115855968,1246.7737126909713,18757.78915030988,0.0
2025-08-03,11230.66825761318,6586.024149142939,17350.63680761318,127.46248000000037
2025-08-04,8840.514242716057,4799.65347658214,12717.103409382726,0.0
2025-08-05,6540.765164032924,3909.2922950171987,10381.767083662551,0.0
2025-08-06,3501.1546721399227,1501.7916161508867,5388.463372139922,165.40862560000295
2025-08-07,4971.2335077777825,2911.908996347459,9058.778118530867,35.88734666666676
2025-08-08,1069.1843850000005,943.8663984734337,22751.2613668107,0.0
2025-08-09,714.7281163374494,659.5300659232208,18896.636516502058,0.0
2025-08-10,4409.745251399182,2597.964267524524,6318.035351399183,10.612690000000043
2025-08-11,3792.2678944856098,2448.714923340408,7098.468591193431,34.08365666666657
2025-08-12,1235.1470275720221,521.7543153198251,2893.8319320164705,299.6079744333349
2025-08-13,2960.4074797119342,1915.3332659435764,4260.2647832510265,11.395173333333332
2025-08-14,3120.6803989712016,1858.7420286072838,5267.57259584363,51.92495666666662
2025-08-15,927.8954086666669,873.4275320186002,20488.215632781892,0.0
2025-08-16,853.0129456666671,766.485843380367,21111.67767723045,0.0
2025-08-17,4747.93414127572,2765.2568146974163,8477.050141275718,75.09001999999998
2025-08-18,4128.923962716051,2445.0376152848416,6639.543812716051,85.03032333333374
2025-08-19,2971.5475076131734,1759.912227693344,6093.2308932098795,136.03337
2025-08-20,1050.3675533744906,403.2799601329485,1050.3675533744906,2000.7607758999968
2025-08-21,3338.832920411524,2118.7834498257453,5177.099070411525,4.895746666666582
2025-08-22,297.70120000000134,265.0852799816678,17426.669349835396,0.0
2025-08-23,477.2850422757214,451.8309713884221,16073.613892358026,0.0
2025-08-24,4730.943805473258,2292.4710713273685,8624.903683251037,0.0
2025-08-25,1677.4486387242887,681.9793925010035,2348.6165553909555,1.4399033333334046
2025-08-26,4582.811598024702,2207.167218232459,6716.1628813580355,13.598273333333509
2025-08-27,2340.9881349382777,1088.5737098560894,4114.309859300417,12.062227333333453
2025-08-28,1777.8852436749085,1137.6898490222911,1777.8852436749085,40.76988333333327
2025-08-29,933.2391210000008,834.0211111431006,16562.96637367489,0.0
2025-08-30,705.7854093333336,643.2036053332004,20742.760707399182,0.0
2025-08-31,4719.582585267495,2855.225670915637,7348.626585267495,12.62863666666658
2025-09-01,12704.095231358038,8138.6965420198,17829.236664691372,0.0
2025-09-02,4555.075899382723,2855.8070146929176,7184.620901152269,0.0
2025-09-03,2411.236672016462,1044.700840653975,5779.244270164608,7.434093766666706
2025-09-04,2779.682757748975,1255.7550726815523,6661.6397244156415,76.82813415000135
2025-09-05,2636.525106917696,2379.446617488106,27045.629697781893,0.0
2025-09-06,1114.9212126666666,1042.5047642194666,23055.708513654317,0.0
2025-09-07,2534.8575490658523,1993.0924938422515,5031.732950753096,0.0
2025-09-08,155.84500000000116,66.56360934166716,266.2597038888971,2166.006053933329
2025-09-09,1941.7195366255166,844.2075664810543,6238.0899058024725,459.8305245000021
2025-09-10,617.0574082304553,246.67155641563477,617.0574082304553,3043.9707487666615
2025-09-11,4095.019431111114,2304.2919763762848,8644.198037695476,6.071666666666715
2025-09-12,487.74107845679055,394.7368970165372,18683.2734777572,0.0
2025-09-13,0.0,0.0,21367.30435699589,0.0
2025-09-14,2104.607908641978,1274.9571548431786,2492.1010612345735,0.0
2025-09-15,5040.233134609056,2906.430562482827,8792.64151794239,1.1717666666667128
2025-09-16,952.5457704526794,655.8179940455739,2635.2928849382774,8.238266666666732
2025-09-17,2536.500822633745,1402.0087843079837,2639.6181555555577,7.62916666666672
2025-09-18,3431.071329259269,2094.3158497400464,4928.009684855979,2.4633999999999787
2025-09-19,548.2571504115224,468.0924912786909,14797.572288123458,0.0
2025-09-20,387.79789075720157,348.41114158005087,14473.925341168731,0.0
2025-09-21,5108.958489218116,2963.78622408428,8538.785739218114,0.0
2025-09-22,3298.1381346049398,1873.0090105959162,5822.83883460494,19.555900000000065
2025-09-23,2423.480792139919,1033.8268110178853,4041.148103991775,28.111158133328946
2025-09-24,2244.295095761321,1427.059442576427,4079.9294287654357,0.0
2025-09-25,4279.291071275724,2445.595950488327,7166.221828888894,15.37166666666667
2025-09-26,1193.7462806666676,1052.4073611200672,14109.150594534984,0.0
2025-09-27,189.815778427983,141.24204161621486,13595.904671514403,0.0
2025-09-28,3966.7493557613234,2557.0718121061896,4557.833728353919,5.868333333333339
2025-09-29,4722.687735349807,2734.9993375148038,6326.416875720179,25.997415699666703
2025-09-30,1861.3281994238628,917.9738887247097,2590.830157242796,31.411150000000134
2025-10-01,9490.891289893005,5485.641811134217,16563.209140551444,0.0
2025-10-02,7511.407174432104,4454.646102008161,13138.266354432102,0.0
2025-10-03,1464.2753250000005,1254.682495211167,21470.153418827165,0.0
2025-10-04,829.1619050000005,754.5841163141669,15821.26309141975,0.0
2025-10-05,5163.8007365020585,3007.354128598697,9213.955736502057,0.0
2025-10-06,2897.154759670789,1657.1410519470166,5401.335659670788,0.0
2025-10-07,2177.8589367901222,1370.126932448749,3562.373125823048,0.0
2025-10-08,1277.5686193168785,715.1399742472681,2524.1410221563883,351.07775443333054
2025-10-09,2859.319873086425,1563.4151100715503,6350.6057533744915,0.0
2025-10-10,344.0633516707814,288.59129170790317,19590.313498419757,0.0
2025-10-11,710.8989533333344,575.9364291665338,15490.113636460912,0.0
2025-10-12,3330.053283662557,1874.505478911888,5242.834962720171,197.3755969666654
2025-10-13,4472.261057942385,2470.395403033687,7393.651793168727,0.0
2025-10-14,1910.3256892592633,1012.443849083907,2644.0075833333394,0.0
2025-10-15,673.1745327572057,274.6852449780839,673.1745327572057,0.0
2025-10-16,1293.4118947325233,564.1948277595194,2432.475427201659,355.1093841999972
2025-10-17,1008.5027920000008,853.2005223666002,14385.464773563786,0.0
2025-10-18,488.99189828806567,419.32848404630096,13957.503346765438,0.0
2025-10-19,2587.1792489259296,1151.9411658090787,3792.0572822592635,120.74669486666699
2025-10-20,3897.6052311934172,2444.538256981602,4367.376237860084,112.3747395333324
2025-10-21,2145.3949395473223,1496.5098312137438,2178.493309794238,0.0
2025-10-22,2481.7660153909583,1350.3712498036189,3337.576028724293,611.0598783999985
2025-10-23,5592.619764292198,3318.2250186867736,6925.067030958866,0.0
2025-10-24,670.1351410000011,531.1407724397006,12519.698555115232,0.0
2025-10-25,785.8917413333339,646.6568092035337,11952.980851497941,0.0
2025-10-26,5848.175077613177,3357.114419857973,7229.022460946509,0.0
2025-10-27,6586.652248312765,3416.1449774161647,8581.603881646097,15.477485733333424
2025-10-28,4518.685634938278,2595.9848536120157,5001.587789670788,0.0
2025-10-29,964.4877004938328,393.82821360002686,964.4877004938328,567.0862705447624
2025-10-30,5442.473112098776,3056.8768270801993,7102.001012098777,0.0
2025-10-31,771.0541276666676,658.9782059801339,8062.235137090544,0.0
2025-11-01,875.3872825000012,681.3105499104506,9221.444048796306,0.0
2025-11-02,4319.685769094662,2661.6291974702563,4806.1590357613295,13.345329999999876
2025-11-03,4322.894456948566,2644.2057428774715,5037.082740858032,0.0
2025-11-04,5674.59193826338,3135.254793668662,7126.797554930046,27.127301600000123
2025-11-05,2576.89759674898,1401.5972989939933,3201.5923467489797,0.0
2025-11-06,3560.630143189309,2306.8231543510747,3560.630143189309,0.0
2025-11-07,1313.146383000001,1026.5733662274004,9246.247866209878,0.0
2025-11-08,957.5194306666675,758.3878712220671,8821.010319390945,0.0
2025-11-09,4223.6551077814875,2278.4930753522185,5008.948824448154,0.0
2025-11-10,2704.7487994938338,1557.4475220871195,2992.1014494938336,0.0
2025-11-11,4689.745121218113,2572.819737455689,5116.461221218113,0.0
2025-11-12,4841.148322078196,2635.289402508796,5304.6815220781955,0.0
2025-11-13,5190.512060835395,2796.602913566384,5497.430383209881,0.0
2025-11-14,821.9737116666679,681.4429267625007,5862.753292777783,0.0
2025-11-15,1019.5444139533342,815.8224800717005,4949.8974801261775,0.0
2025-11-16,4712.098553600831,2806.308742896292,5190.172236934164,0.0
2025-11-17,7288.200060440338,4550.444792093778,7583.134882251037,0.0
2025-11-18,3834.7798482757325,2191.9943782441146,3905.9190316090653,0.0
2025-11-19,4339.773513806585,2820.322472453713,4444.853047139918,1.3850000000001046
2025-11-20,5786.264218798357,3344.312455500362,5880.701952131691,0.0
2025-11-21,1608.0172073251065,1111.9778822694166,6241.968207325106,0.0
2025-11-22,1103.779423135803,782.6765825270818,5080.921194534986,0.0
2025-11-23,5869.609148271615,3853.526735594907,6427.052348271614,0.0
2025-11-24,7648.337334901245,4493.430129892084,8111.373634901245,18.83966666666663
2025-11-25,4903.854587806585,3188.8681076866887,5003.861171139919,0.0
2025-11-26,4736.82785713581,3026.6521262528404,4797.479440469143,23.98673016666669
2025-11-27,6050.418275395072,3518.6423388850544,6264.431092061738,0.0
2025-11-28,1301.4801776666677,962.525867594134,5461.4729605061775,0.0
2025-11-29,1439.6795012757266,984.5707020861338,2004.455967654328,0.0
2025-11-30,3141.8414002469276,2106.039443395049,3141.8414002469276,5.39054492333355
2025-12-01,1063.7773955144116,640.9426081016495,1063.7773955144116,3231.668050566661
2025-12-02,2198.7757834156464,1376.2372581536426,2198.7757834156464,639.2218336666657
2025-12-03,4119.042746255154,2715.200344495334,4119.042746255154,0.0
2025-12-04,5854.844804362148,3859.8143320697905,5854.844804362148,44.22735323333336
2025-12-05,2066.7053854321,1281.402159992642,2670.7968354321,108.12077379999961
2025-12-06,1537.6340382716148,1037.4452026449014,2939.035309506184,0.0
2025-12-07,5243.288552510295,3458.309623046922,5243.288552510295,8.700169666666739
2025-12-08,8856.99400551441,5560.5572203064685,8856.99400551441,0.0
2025-12-09,7550.280487736632,4602.335887143135,7550.280487736632,39.063573333333466
2025-12-10,5700.124616213999,3645.4498709682675,5700.124616213999,0.0
2025-12-11,8241.970333539102,5393.380355483496,8241.970333539102,0.0
2025-12-12,4771.059118518524,2703.767924649151,6622.37943518519,0.0
2025-12-13,4256.453240617293,2454.601502776696,5388.835690617294,0.0
2025-12-14,6221.667638024695,4108.693850107222,6221.667638024695,0.0
2025-12-15,5622.689222839515,3958.0957988510563,5622.689222839515,0.0
2025-12-16,5918.326806625528,4057.576674242838,5918.326806625528,0.0
2025-12-17,6747.306584897133,4343.749191121513,6747.306584897133,0.0
2025-12-18,7891.981178971203,5102.594138402164,7891.981178971203,0.0
2025-12-19,5244.789465967087,2782.6592188996665,7293.116032016471,0.0
2025-12-20,4829.66092744856,2663.476104921737,6975.361960781894,0.0
2025-12-21,6536.5011036214055,4311.528234921457,6536.5011036214055,0.0
