date,alpha,rho,terminal,soc0_actual,soc24_actual,soc24_plan,soc_min_actual,soc_max_actual,purchase_kwh,plan_cost,emergency_kwh,emergency_cost,total_cost,curtail_kwh,emergency_slots,n_simultaneous_plan,max_unserved_kwh,dispatch
2025-06-02,0.8,0.0,2400.0,1459.1056640740744,2011.5411956666671,2400.0,1200.0,10800.0,69688.100475,42341.3972797138,4365.477830299996,29491.420212521927,71832.81749223573,888.408025226336,11,0,0.0,greedy
2025-06-03,0.8,0.0,2400.0,2011.5411956666671,2324.7299453703704,2400.0,1200.0,10593.830820370373,68832.8593525,41691.27986148461,3699.9321993333315,23505.633436901368,65196.913298385974,200.5420333333343,24,0,0.0,greedy
2025-06-04,0.8,0.0,2400.0,2324.7299453703704,2521.835042185186,2400.0,1200.0,10800.0,73498.04895699999,45122.5062317946,726.0992358666663,5056.339834171048,50178.84606596565,408.20179460905433,5,0,0.0,greedy
2025-06-05,0.8,0.0,2400.0,2521.835042185186,2768.0831270370386,2400.0,1200.0,10800.0,76116.915935,46931.64435904421,521.4177909666596,3620.596079854917,50552.24043889913,793.9468217695486,4,0,0.0,greedy
2025-06-06,0.8,0.0,2400.0,2768.0831270370386,2001.724428925926,2400.0,1200.0,10800.0,32082.924692999997,17586.955753496302,2891.9016211333296,19357.38891783061,36944.34467132691,2172.245830370375,9,0,0.0,greedy
2025-06-07,0.8,0.0,2400.0,2001.724428925926,2724.4565115185183,2400.0,1200.0,10800.0,35560.848759,20055.0426941019,223.38050876666443,1558.302429156251,21613.34512325815,1516.5555293045238,1,0,0.0,greedy
2025-06-08,0.8,0.0,2400.0,2724.4565115185183,3580.463464555557,2400.0,1830.272113333334,10800.0,82707.083547,51898.284566230606,0.0,0.0,51898.284566230606,13520.899661913587,0,0,0.0,greedy
2025-06-09,0.8,0.0,2400.0,3580.463464555557,2951.9798995555566,2400.0,1200.0,10800.0,80000.049634,49961.7100587308,145.9656040000002,1002.2919765436682,50964.00203527447,6037.129928185197,3,0,0.0,greedy
2025-06-10,0.8,0.0,2400.0,2951.9798995555566,2648.262030148148,2400.0,1296.7495892222214,10800.0,79415.70073499999,49216.1150211716,28.783200666666858,194.24845588933462,49410.363477060935,4045.7558547119356,3,0,0.0,greedy
2025-06-11,0.8,0.0,2400.0,2648.262030148148,2715.0850412962964,2400.0,1200.0,10800.0,79261.524269,48728.1458516254,3238.433424333326,18951.600493510952,67679.74634513634,2052.015186748973,13,0,0.0,greedy
